unstable,stable,layer
0.11487700045108795,0.1113712340593338,1
0.1396355926990509,0.1017429381608963,2
0.17250478267669678,0.07319289445877075,3
0.18696296215057373,0.11133232712745667,4
0.23364554345607758,0.08709809929132462,5
0.28588488698005676,0.08014435321092606,6
0.18397559225559235,0.10919302701950073,7
0.19081652164459229,0.08784168213605881,8
0.21994012594223022,0.084602490067482,9
0.23495952785015106,0.08073806762695312,10
0.21747608482837677,0.11385509371757507,11
0.21066239476203918,0.0724281370639801,12
0.22772005200386047,0.06716395169496536,13
0.2183743268251419,0.10083213448524475,14
0.24238818883895874,0.05867179483175278,15
0.2668304741382599,0.050942741334438324,16
# 0.16566696763038635,0.13086557388305664,17
# 0.3023054897785187,0.30281180143356323,18